RegionKey,division,district,upazila,RegionDpheUrl,RegionContactCount,RegionContactEmails
Barisal-Barguna-Amtali,Barisal,Barguna,Amtali,http://dphe.amtali.barguna.gov.bd/en,5,2
Barisal-Barguna-Bamna,Barisal,Barguna,Bamna,http://dphe.bamna.barguna.gov.bd/en,8,1
Barisal-Barguna-Barguna Sadar,Barisal,Barguna,Barguna Sadar,http://dphe.sadar.barguna.gov.bd/en,5,1
Barisal-Barguna-Betagi,Barisal,Barguna,Betagi,http://dphe.betagi.barguna.gov.bd/en,4,3
Barisal-Barguna-Patharghata,Barisal,Barguna,Patharghata,http://dphe.pathorghata.barguna.gov.bd/,6,1
Barisal-Barisal-Agailjhara,Barisal,Barisal,Agailjhara,http://dphe.agailjhara.barisal.gov.bd/en,3,1
Barisal-Barisal-Babuganj,Barisal,Barisal,Babuganj,http://dphe.babuganj.barisal.gov.bd/en,14,2
Barisal-Barisal-Bakerganj,Barisal,Barisal,Bakerganj,http://dphe.bakerganj.barisal.gov.bd/en,8,4
Barisal-Barisal-Banari Para,Barisal,Barisal,Banari Para,http://dphe.banaripara.barisal.gov.bd/en,6,1
Barisal-Barisal-Barisal Sadar (Kotwali),Barisal,Barisal,Barisal Sadar (Kotwali),http://dphe.barisalsadar.barisal.gov.bd/en,3,1
Barisal-Barisal-Gaurnadi,Barisal,Barisal,Gaurnadi,http://dphe.gournadi.barisal.gov.bd/,10,3
Barisal-Barisal-Hizla,Barisal,Barisal,Hizla,http://dphe.hizla.barisal.gov.bd/en,7,1
Barisal-Barisal-Mehendiganj,Barisal,Barisal,Mehendiganj,http://dphe.mehendiganj.barisal.gov.bd/en,1,1
Barisal-Barisal-Muladi,Barisal,Barisal,Muladi,http://dphe.muladi.barisal.gov.bd/en,3,2
Barisal-Barisal-Wazirpur,Barisal,Barisal,Wazirpur,http://dphe.wazirpur.barisal.gov.bd/en,9,1
Barisal-Bhola-Bhola Sadar,Barisal,Bhola,Bhola Sadar,http://dphe.sadar.bhola.gov.bd/en,9,2
